2	2.782325
3	3.25935
4	4.067545
5	5.04757
6	6.001975
8	8.326895
10	10.236335
15	15.23321
20	19.16292
25	23.82822
30	28.634885
35	33.47087
40	38.24309
45	43.087885
50	47.57985
55	52.06106
60	56.979895
65	61.867765
70	66.620375
75	71.474615
80	76.4032
85	81.338595
90	85.72017
95	90.860385
100	95.48461
105	100.976285
110	104.3609942
120	115.81523
130	125.367865
140	135.302295
150	145.42794
160	156.20736
170	165.91558
180	175.484755
190	185.44674
200	195.15566
220	214.725685
240	234.09771
260	254.23034
280	273.649395
300	293.15766
320	311.469805
340	332.2342118
360	350.567955
370	361.148005
375	365.54858
380	370.504295
